sao,ra_rad,dec_rad,apparent_vm,spec
151881,1.76779433,-0.2917517103,-1.6,A
67174 ,4.873565483,0.6769025824,0.1,A
125122,5.195772534,0.1547819552,0.9,A
191524,6.011137273,-0.5170057459,1.3,A
49941 ,5.416769687,0.7902913394,1.3,A
60198 ,1.983566259,0.5565590276,1.6,A
28553 ,3.377339875,0.9766840678,1.7,A
250495,2.413796173,-1.216794879,1.8,A
95912 ,1.735346478,0.2862213922,1.9,A
210091,4.817862936,-0.6001261303,2,A
236232,2.289453027,-0.9548398662,2,A
102932,4.603020468,0.2192143722,2.1,A
40750 ,1.568740693,0.7844805081,2.1,A
73765 ,0.03659875447,0.507723794,2.1,A
99809 ,3.09385659,0.2543303482,2.2,A
83893 ,4.07834577,0.4662597646,2.3,A
27876 ,2.887828325,0.9840581808,2.4,A
223603,3.322743722,-0.8545069477,2.4,A
28737 ,3.507788183,0.9586288306,2.4,A
28179 ,3.114673495,0.9371504209,2.5,A
160332,4.495873251,-0.2744502614,2.6,A
108378,6.04215941,0.2653816276,2.6,A
19302 ,5.578856451,1.092324106,2.6,A
81727 ,2.941352338,0.3582058488,2.6,A
75012 ,0.5002115091,0.3631677714,2.7,A
187600,4.985584641,-0.5215097619,2.7,A
58636 ,1.569581869,0.6494789995,2.7,A
22268 ,0.3744448285,1.051303487,2.8,A
204371,3.493265008,-0.6407505595,2.9,A
63257 ,3.386060195,0.6687821471,2.9,A
131794,1.343246771,-0.08877505733,2.9,A
158840,3.88719142,-0.2799817916,2.9,A
104461,4.997794746,0.2419629451,3,A
164644,5.703042082,-0.2814740481,3,A
48796 ,5.170431371,0.7876799875,3,A
55306 ,0.5652405135,0.6106429996,3.1,A
8220  ,4.017437124,1.253740445,3.1,A
157323,3.271900172,-0.2882486891,3.1,A
42630 ,2.352736702,0.8384840979,3.1,A
253097,4.009499803,-1.198682337,3.1,A
84951 ,4.516178484,0.4335263084,3.2,A
67663 ,4.969578808,0.5705399876,3.3,A
249647,1.781067777,-1.081081276,3.3,A
150237,1.365419579,-0.2828402531,3.3,A
99512 ,2.941927205,0.2692966435,3.4,A
144150,5.285314251,0.01433724955,3.4,A
139420,3.554769756,0.01040250171,3.4,A
28315 ,3.208902003,0.9954066025,3.4,A
216113,0.7778125989,-0.7034500099,3.4,A
165375,5.998043522,-0.2761253897,3.5,A
43268 ,2.692592086,0.7489972856,3.5,A
233564,1.19553752,-0.9607171655,3.5,A
254862,5.432153165,-1.155461779,3.6,A
160700,4.614592365,-0.2687556399,3.6,A
16273 ,3.684342709,1.123570347,3.6,A
140787,4.143500365,-0.05986935059,3.6,A
96746 ,1.911539938,0.2886841002,3.6,A
59570 ,1.801131646,0.5927350488,3.6,A
98955 ,2.649988018,0.2925632399,3.6,A
110707,0.7125341578,0.05647376405,3.6,A
247593,5.971447395,-0.8956473155,3.7,A
123142,4.744458387,0.166921011,3.7,A
101725,4.128523695,0.2691614775,3.7,A
150801,1.513878595,-0.2586927987,3.7,A
42661 ,2.372013645,0.8230376916,3.7,A
122754,4.659561355,0.04725086251,3.7,A
127340,5.804091555,0.1081731315,3.7,A
251575,3.078789308,-1.164635472,3.8,A
121218,4.148717809,0.07815167451,3.8,A
144810,5.444013986,-0.1657319085,3.8,A
120648,3.866991342,0.03303515575,3.8,A
117527,2.418872173,0.04039094284,3.8,A
61391 ,2.438419133,0.6423271736,3.8,A
85750 ,4.745299636,0.50200052,3.8,A
31702 ,5.103805172,0.902854992,3.9,A
234134,1.515317764,-0.8912774474,3.9,A
121658,4.323677467,0.03462752629,3.9,A
54281 ,0.2476348046,0.671939981,3.9,A
34542 ,5.896121748,0.8775956175,3.9,A
65716 ,4.451853938,0.5397686693,3.9,A
101145,3.844736358,0.2396040357,3.9,A
215092,0.1143336104,-0.7623579265,3.9,A
83958 ,4.113491901,0.4589436837,3.9,A
111579,1.060969072,0.1045331503,3.9,A
28751 ,3.513456722,0.9597233459,4,A
223560,3.306101717,-0.8472043446,4,A
146044,5.854079821,-0.02421338905,4,A
162512,5.068754016,-0.3114914811,4,A
135896,2.206360301,-0.0681803176,4,A
138721,3.2284494,0.01163790393,4,A
50274 ,5.485454211,0.7185034747,4,A
28738 ,3.507851161,0.9585647867,4,A
174400,2.023741047,-0.505359794,4.1,A
156661,2.988361472,-0.3086443643,4.1,A
221895,2.682293262,-0.7351697207,4.1,A
134330,1.884363562,0.008600158371,4.1,A
210990,5.015518783,-0.6615590535,4.1,A
257757,5.238567644,-1.272528187,4.1,A
55427 ,0.5991474612,0.5907462461,4.1,A
4560  ,0.5385867178,1.263990618,4.1,A
118804,2.972018572,0.1052319123,4.1,A
220422,2.295232757,-0.8035780947,4.1,A
220204,2.258648984,-0.7503021132,4.1,A
250422,2.366872851,-1.158831913,4.2,A
93923 ,1.158417494,0.3129048584,4.2,A
113389,1.581196817,0.1683798154,4.2,A
164132,5.523737935,-0.300768663,4.2,A
205453,3.754887317,-0.6612239503,4.2,A
9084  ,4.802960878,1.245081236,4.2,A
242384,4.003410131,-1.026275805,4.2,A
116965,2.25870178,0.09954829606,4.2,A
168249,0.7958350142,-0.4123240486,4.2,A
46161 ,4.33759385,0.7406660049,4.3,A
67321 ,4.907747538,0.656332859,4.3,A
98267 ,2.349594091,0.206956537,4.3,A
120238,3.672376441,0.02695680422,4.3,A
44965 ,3.736679025,0.8043930665,4.3,A
18897 ,5.365061036,1.099454115,4.3,A
94044 ,1.213690326,0.2183565913,4.3,A
32378 ,5.29444785,0.987293294,4.3,A
8328  ,4.119232798,1.357770068,4.3,A
24412 ,1.075924653,0.8787952889,4.3,A
110291,0.5325297708,0.04823469491,4.3,A
53264 ,6.197701626,0.7737725737,4.3,A
110543,0.6464653007,0.1476557274,4.3,A
71165 ,5.573777979,0.6875670289,4.3,A
248545,0.6185006901,-1.198330944,4.3,A
203907,3.374754679,-0.7012545312,4.3,A
112124,1.268034134,0.1553370184,4.4,A
160747,4.631295747,-0.2247156984,4.4,A
160479,4.541467214,-0.2242178918,4.4,A
104093,4.91755767,0.3173265531,4.4,A
213883,5.897057826,-0.5645440544,4.4,A
199070,2.175358236,-0.6398269894,4.4,A
123035,4.72004014,0.02278037677,4.4,A
25665 ,1.656419053,1.02993513,4.4,A
254147,4.749826802,-1.111222337,4.4,A
94026 ,1.202769583,0.1773405782,4.4,A
2937  ,4.591160083,1.511219755,4.4,A
234589,1.723406389,-0.9245977706,4.4,A
53777 ,0.07457733716,0.6751205042,4.4,A
76601 ,1.157889241,0.3890999704,4.4,A
24929 ,1.297156334,0.9381515127,4.4,A
76608 ,1.161985093,0.3981714646,4.4,A
213258,5.693905792,-0.5764084148,4.4,A
81637 ,2.889957045,0.352202304,4.4,A
117146,2.305723568,0.1018867949,4.4,A
216114,0.7778569593,-0.7034464708,4.4,A
22070 ,0.3102455827,0.9625459797,4.5,A
249346,1.504358696,-1.147301347,4.5,A
232162,0.1891678746,-1.002920196,4.5,A
87883 ,5.20745984,0.4202689813,4.5,A
61874 ,2.650410024,0.6151374164,4.5,A
106425,5.425613561,0.2631004338,4.5,A
124068,4.957694425,0.07336646651,4.5,A
171982,1.723756692,-0.4008122932,4.5,A
41764 ,1.949157238,0.8589054683,4.5,A
179624,2.930661832,-0.3983853159,4.5,A
81583 ,2.860653476,0.4319642872,4.5,A
136932,2.495743309,-0.02068006694,4.5,A
113810,1.674504736,0.08016016062,4.5,A
77675 ,1.541682344,0.4819232219,4.5,A
114034,1.714366675,0.1279832972,4.5,A
251705,3.154795415,-1.10501837,4.5,A
248202,0.137704369,-1.098958829,4.5,A
137366,2.652629937,0.006486904016,4.5,A
101682,4.108292274,0.3433117423,4.5,A
27408 ,2.583549514,0.943600673,4.5,A
53798 ,0.07997069544,0.6420246013,4.5,A
19624 ,5.696096617,1.066758668,4.5,A
139189,3.44680747,-0.09667359334,4.5,A
221344,2.516890591,-0.8614103551,4.5,A
102153,4.299688935,0.2449263203,4.5,A
214153,5.988774733,-0.5737867848,4.5,A
67315 ,4.906040242,0.6913759191,4.5,A
66001 ,4.553926392,0.6483194707,4.5,A
215996,0.6972567818,-0.7485996899,4.5,A
27136 ,2.394902257,0.9006691611,4.5,A
153687,2.093816089,-0.3211292377,4.6,A
29046 ,3.72402546,0.9039086861,4.6,A
27298 ,2.508144237,0.9084696193,4.6,A
12298 ,0.6504238529,1.176393416,4.6,A
119164,3.145402416,0.1154410703,4.6,A
44668 ,3.553729249,0.8554895196,4.6,A
222487,2.880467108,-0.7369822936,4.6,A
75673 ,0.7819581194,0.3724585953,4.6,A
246965,5.584470594,-0.9328712615,4.6,A
128336,6.204850203,0.03106879994,4.6,A
93932 ,1.162153808,0.2725908555,4.6,A
147059,0.01631861034,-0.3025696973,4.6,A
165842,6.207797046,-0.2538566368,4.6,A
138102,2.952493647,-0.06373321867,4.6,A
192167,6.234866449,-0.4909659667,4.6,A
24531 ,1.126802091,0.8778232375,4.6,A
19827 ,5.776125417,1.127968674,4.6,A
4554  ,0.5321337993,1.23756134,4.6,A
18299 ,5.06437193,1.146934003,4.6,A
228162,4.606182132,-0.8116762769,4.6,A
213576,5.796165651,-0.5757608492,4.6,A
158489,3.748574025,-0.2333701559,4.6,A
56047 ,0.7799944059,0.6922457233,4.6,A
91186 ,6.111433637,0.41434737,4.6,A
170327,1.398217661,-0.3707001276,4.7,A
106274,5.390051969,0.2561136384,4.7,A
74637 ,0.3467383811,0.4758479732,4.7,A
80378 ,2.283265326,0.374695865,4.7,A
76920 ,1.322503897,0.376815422,4.7,A
151110,1.597655708,-0.2606675903,4.7,A
13788 ,1.653031296,1.209859135,4.7,A
206616,4.037540554,-0.6760303541,4.7,A
88071 ,5.240791775,0.4843926204,4.7,A
161520,4.839788053,-0.2542219439,4.7,A
94201 ,1.286726174,0.1771635242,4.7,A
169017,1.046866957,-0.4191654484,4.7,A
5006  ,1.005128789,1.24498311,4.7,A
159090,3.980316734,-0.3454311053,4.7,A
141187,4.310106587,-0.1461141168,4.7,A
167532,0.5431938053,-0.5113271717,4.7,A
94007 ,1.194888694,0.259083607,4.8,A
231675,6.174434205,-0.7437736121,4.8,A
191988,6.166583714,-0.3650265955,4.8,A
173864,1.962871162,-0.4018541093,4.8,A
24061 ,0.9159234115,1.027627853,4.8,A
163468,5.32615132,-0.222689856,4.8,A
88944 ,5.40407249,0.3700311332,4.8,A
226500,4.21711079,-0.7884216554,4.8,A
32114 ,5.216918143,0.9152323338,4.8,A
55289 ,0.5606348805,0.660766868,4.8,A
212874,5.576056507,-0.561517508,4.8,A
41681 ,1.91345791,0.8633267266,4.8,A
43512 ,2.853522134,0.7538069767,4.8,A
43379 ,2.762994305,0.7055564769,4.8,A
62491 ,2.963271709,0.6664630894,4.8,A
57755 ,1.367589169,0.6716803148,4.8,A
144895,5.465734027,-0.1567881627,4.8,A
184329,4.278833923,-0.4218377899,4.8,A
92681 ,0.495369893,0.3367380566,4.8,A
92680 ,0.4953683658,0.3367761145,4.8,A
93975 ,1.180545069,0.2826381827,4.8,A
82390 ,3.293658319,0.3949539501,4.8,A
186061,4.711485118,-0.415668148,4.8,A
84155 ,4.198807522,0.3980109913,4.8,A
145537,5.662510737,-0.1370822319,4.8,A
41463 ,1.822203224,0.7870425544,4.8,A
93907 ,1.152336767,0.3044547014,4.8,A
76532 ,1.122511635,0.3591641315,4.8,A
75051 ,0.5145615335,0.4118293447,4.8,A
34628 ,5.92265868,0.8996333082,4.8,A
65921 ,4.527697366,0.6508602822,4.8,A
90717 ,5.941785161,0.511513825,4.9,A
215131,0.1370791776,-0.8517810828,4.9,A
141022,4.241149937,-0.175653669,4.9,A
128186,6.13890141,0.02191377231,4.9,A
231707,6.186536245,-0.7939918253,4.9,A
254358,4.910678164,-1.132219811,4.9,A
30949 ,4.816712037,1.026264945,4.9,A
46305 ,4.403629255,0.802559695,4.9,A
84152 ,4.195091643,0.5209987683,4.9,A
132411,1.478665341,-0.1258893384,4.9,A
184301,4.268630873,-0.4994111786,4.9,A
25450 ,1.548308341,0.9722711482,4.9,A
148385,0.6368267199,-0.2145093039,4.9,A
198636,2.084221796,-0.5294371928,4.9,A
229461,4.98777612,-0.7347007604,4.9,A
102584,4.474056635,0.2223700729,4.9,A
25939 ,1.772536972,1.037454832,4.9,A
94054 ,1.218566558,0.2778224315,4.9,A
220284,2.274241173,-0.8258387996,4.9,A
120339,3.718697624,0.04205152667,4.9,A
130387,0.8544854947,-0.1539330464,4.9,A
189986,5.517007073,-0.3465352684,4.9,A
256722,2.750340741,-1.256511786,4.9,A
185470,4.587667243,-0.4182279157,4.9,A
101138,3.842894672,0.2865544107,4.9,A
176697,2.336671674,-0.4831418496,4.9,A
230644,5.588372059,-0.7122623228,4.9,A
27191 ,2.426834292,0.942859199,4.9,A
15163 ,2.723284501,1.144349413,4.9,A
29071 ,3.735726366,0.8965278341,4.9,A
165134,5.893309805,-0.1863658212,4.9,A
228466,4.669567109,-0.6997124843,4.9,A
219569,2.144277412,-0.7502691458,4.9,A
120004,3.552321932,0.06385975504,4.9,A
26687 ,2.131296526,0.8989608716,4.9,A
243279,4.204203426,-1.008369017,4.9,A
248644,0.7223189099,-1.180133317,4.9,A
4840  ,0.8374888966,1.298413311,4.9,A
79774 ,2.066018812,0.4671506582,5,A
30450 ,4.591380213,0.9629494901,5,A
75810 ,0.8504187321,0.3672950872,5,A
30447 ,4.59098235,0.9631478274,5,A
82314 ,3.259354163,0.4681957226,5,A
20853 ,6.230443348,1.183452255,5,A
105878,5.298284229,0.2652468009,5,A
220540,2.311673177,-0.7907709656,5,A
24064 ,0.9163132744,0.9678186678,5,A
26474 ,2.020248134,1.024689979,5,A
163141,5.22704498,-0.2703769054,5,A
218546,1.890291573,-0.7885925523,5,A
188101,5.084472378,-0.4277567347,5,A
258693,3.744721138,-1.413849679,5,A
57548 ,1.30575099,0.6613081625,5,A
90040 ,5.715276185,0.5266388483,5,A
38750 ,0.8789599559,0.7562449593,5,A
149789,1.216902168,-0.2115865561,5,A
